,year,state,name,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,expenditure,current_spending_instruction,current_spending,other_spending,total_capital,score,test_subject,grade
61,1996,Texas,HOUSTON IND SCH DIST 912,206704.0,1091701.0,106208.0,316035.0,669458.0,1141288.0,604612.0,367032.0,62941.0,84693.0,228.712919803307,Mathematics,4
62,1996,Texas,HOUSTON IND SCH DIST 912,206704.0,1091701.0,106208.0,316035.0,669458.0,1141288.0,604612.0,367032.0,62941.0,84693.0,270.1995775601,Mathematics,8
63,1996,Wisconsin,MILWAUKEE CITY SCH DIST,98378.0,791850.0,79217.0,462934.0,249699.0,769136.0,453148.0,246964.0,28840.0,33070.0,231.41185147962398,Mathematics,4
64,1996,Wisconsin,MILWAUKEE CITY SCH DIST,98378.0,791850.0,79217.0,462934.0,249699.0,769136.0,453148.0,246964.0,28840.0,33070.0,282.848741719953,Mathematics,8
65,1998,California,FRESNO UNIFIED SCH DIST,78166.0,489507.0,59951.0,336987.0,92569.0,478413.0,258272.0,143899.0,28588.0,42572.0,201.91259066657102,Reading,4
66,1998,California,FRESNO UNIFIED SCH DIST,78166.0,489507.0,59951.0,336987.0,92569.0,478413.0,258272.0,143899.0,28588.0,42572.0,253.212951848734,Reading,8
67,1998,California,LONG BEACH UNI SCH DIST,85908.0,550591.0,64707.0,367040.0,118844.0,515196.0,278380.0,153905.0,27890.0,53575.0,201.91259066657102,Reading,4
68,1998,California,LONG BEACH UNI SCH DIST,85908.0,550591.0,64707.0,367040.0,118844.0,515196.0,278380.0,153905.0,27890.0,53575.0,253.212951848734,Reading,8
69,1998,California,LOS ANGELES CO OFF OF EDUCATION,14894.0,475245.0,188801.0,165271.0,121173.0,458671.0,221368.0,196822.0,15.0,8619.0,201.91259066657102,Reading,4
70,1998,California,LOS ANGELES CO OFF OF EDUCATION,14894.0,475245.0,188801.0,165271.0,121173.0,458671.0,221368.0,196822.0,15.0,8619.0,253.212951848734,Reading,8
71,1998,California,LOS ANGELES UNIF SCH DIST,680430.0,4923865.0,454279.0,3265698.0,1203888.0,4618160.0,2573965.0,1314139.0,331750.0,388648.0,201.91259066657102,Reading,4
72,1998,California,LOS ANGELES UNIF SCH DIST,680430.0,4923865.0,454279.0,3265698.0,1203888.0,4618160.0,2573965.0,1314139.0,331750.0,388648.0,253.212951848734,Reading,8
73,1998,California,SAN DIEGO CITY UNIF SCH DIST,136283.0,982542.0,78081.0,472515.0,431946.0,875420.0,481752.0,291403.0,34512.0,43324.0,201.91259066657102,Reading,4
74,1998,California,SAN DIEGO CITY UNIF SCH DIST,136283.0,982542.0,78081.0,472515.0,431946.0,875420.0,481752.0,291403.0,34512.0,43324.0,253.212951848734,Reading,8
75,1998,District of Columbia,DC PUBLIC SCHOOLS,77111.0,706938.0,116366.0,0.0,590572.0,716740.0,283484.0,339972.0,33393.0,59891.0,181.626990470712,Reading,4
76,1998,District of Columbia,DC PUBLIC SCHOOLS,77111.0,706938.0,116366.0,0.0,590572.0,716740.0,283484.0,339972.0,33393.0,59891.0,236.37910176331403,Reading,8
77,1998,Florida,BROWARD CO SCHOOL DIST,224799.0,1552136.0,99409.0,796726.0,656001.0,1470830.0,678498.0,496054.0,107616.0,151390.0,207.297609369791,Reading,4
78,1998,Florida,BROWARD CO SCHOOL DIST,224799.0,1552136.0,99409.0,796726.0,656001.0,1470830.0,678498.0,496054.0,107616.0,151390.0,253.334826741604,Reading,8
79,1998,Florida,DADE CO SCH DIST,345958.0,2557027.0,202952.0,1352586.0,1001489.0,2501659.0,1218251.0,734254.0,206180.0,262181.0,207.297609369791,Reading,4
80,1998,Florida,DADE CO SCH DIST,345958.0,2557027.0,202952.0,1352586.0,1001489.0,2501659.0,1218251.0,734254.0,206180.0,262181.0,253.334826741604,Reading,8
81,1998,Florida,DUVAL CO SCH DIST,126979.0,763122.0,57096.0,418781.0,287245.0,761889.0,379372.0,228443.0,39271.0,103903.0,207.297609369791,Reading,4
82,1998,Florida,DUVAL CO SCH DIST,126979.0,763122.0,57096.0,418781.0,287245.0,761889.0,379372.0,228443.0,39271.0,103903.0,253.334826741604,Reading,8
83,1998,Florida,HILLSBOROUGH CO SCH DIST,152781.0,1056290.0,96580.0,604771.0,354939.0,1055110.0,478260.0,313110.0,91076.0,144935.0,207.297609369791,Reading,4
84,1998,Florida,HILLSBOROUGH CO SCH DIST,152781.0,1056290.0,96580.0,604771.0,354939.0,1055110.0,478260.0,313110.0,91076.0,144935.0,253.334826741604,Reading,8
85,1998,Florida,PALM BEACH CO SCH DIST,142724.0,1079586.0,77197.0,337470.0,664919.0,1027212.0,497096.0,266563.0,94921.0,132842.0,207.297609369791,Reading,4
86,1998,Florida,PALM BEACH CO SCH DIST,142724.0,1079586.0,77197.0,337470.0,664919.0,1027212.0,497096.0,266563.0,94921.0,132842.0,253.334826741604,Reading,8
87,1998,Hawaii,HAWAII PUBLIC SCHOOLS,189887.0,1279125.0,107149.0,1141001.0,30975.0,1266378.0,712023.0,328519.0,104350.0,121486.0,199.70168159445598,Reading,4
88,1998,Hawaii,HAWAII PUBLIC SCHOOLS,189887.0,1279125.0,107149.0,1141001.0,30975.0,1266378.0,712023.0,328519.0,104350.0,121486.0,249.689755497402,Reading,8
89,1998,Illinois,CITY OF CHICAGO SCH DIST 299,428184.0,3083835.0,412494.0,1238399.0,1432942.0,3446592.0,1748125.0,875914.0,270679.0,499983.0,,Reading,4
90,1998,Illinois,CITY OF CHICAGO SCH DIST 299,428184.0,3083835.0,412494.0,1238399.0,1432942.0,3446592.0,1748125.0,875914.0,270679.0,499983.0,,Reading,8
91,1998,Kentucky,JEFFERSON CO SCH DIST,99759.0,662998.0,62798.0,303752.0,296448.0,678960.0,329088.0,230246.0,27245.0,79341.0,217.53088006176003,Reading,4
92,1998,Kentucky,JEFFERSON CO SCH DIST,99759.0,662998.0,62798.0,303752.0,296448.0,678960.0,329088.0,230246.0,27245.0,79341.0,262.06171356024504,Reading,8
93,1998,Louisiana,ORLEANS PARISH SCH DIST,83175.0,467735.0,67919.0,226582.0,173234.0,451291.0,258507.0,127591.0,29301.0,19329.0,204.226630274646,Reading,4
94,1998,Louisiana,ORLEANS PARISH SCH DIST,83175.0,467735.0,67919.0,226582.0,173234.0,451291.0,258507.0,127591.0,29301.0,19329.0,251.891860455233,Reading,8
95,1998,Maryland,BALTIMORE CITY SCHOOLS,107416.0,823135.0,98481.0,499861.0,224793.0,838889.0,529467.0,224774.0,30184.0,45738.0,214.929886926389,Reading,4
96,1998,Maryland,BALTIMORE CITY SCHOOLS,107416.0,823135.0,98481.0,499861.0,224793.0,838889.0,529467.0,224774.0,30184.0,45738.0,262.102922675169,Reading,8
97,1998,Michigan,DETROIT PUB SCH DIST,174730.0,1420219.0,147128.0,1094806.0,178285.0,1345361.0,784638.0,462183.0,52040.0,26582.0,216.50139799809799,Reading,4
98,1998,Michigan,DETROIT PUB SCH DIST,174730.0,1420219.0,147128.0,1094806.0,178285.0,1345361.0,784638.0,462183.0,52040.0,26582.0,,Reading,8
99,1998,Michigan,WAYNE INTERMEDIATE SCHOOL DIST,0.0,185613.0,56676.0,35802.0,93135.0,185722.0,9239.0,32752.0,9199.0,2258.0,216.50139799809799,Reading,4
100,1998,Michigan,WAYNE INTERMEDIATE SCHOOL DIST,0.0,185613.0,56676.0,35802.0,93135.0,185722.0,9239.0,32752.0,9199.0,2258.0,,Reading,8
101,1998,Nevada,CLARK COUNTY SCH DIST,190822.0,1223364.0,54219.0,743303.0,425842.0,1356279.0,581113.0,362759.0,36006.0,290018.0,207.59793005728199,Reading,4
102,1998,Nevada,CLARK COUNTY SCH DIST,190822.0,1223364.0,54219.0,743303.0,425842.0,1356279.0,581113.0,362759.0,36006.0,290018.0,256.838401303912,Reading,8
103,1998,New York,BUFFALO CITY SCH DIST,47010.0,468066.0,57981.0,306864.0,103221.0,472078.0,278151.0,126877.0,22352.0,24483.0,215.77921569418098,Reading,4
